Nome Format,Tipologia,Logistica,Metodo di calcolo,Pricing,Target Ideale,Vibe / Emozione,Sales Hook,Social,Novità ,Ranking,Max Pax,Durata Min,Durata Max,Durata Ideale,Descrizione Breve,Formazione,Note,Link website page,link pdf ita,link ppt ita,Link pdf eng,Link ppt eng
Bike Building,Sociale / Costruzione,Indoor,Standard,100,"Tutti i reparti, CSR","Cuore, Meccanica, Sorpresa",Avvitare un bullone non è mai stato cosà emozionante: costruite un sorriso per un bambino.,si,no,5,Illimitato,1,2,"1,5",Montaggio di biciclette da zero che verranno donate in beneficenza a fine evento.,High,,https://www.teambuilding.it/project/bike-building/,https://teambuilding.it/preventivi/schede/ita/Bike Building - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Bike Building - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Bike Building - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Bike Building - TeamBuilding-it-eng.pptx
Bootcamp,Avventura / Sport,Outdoor,Standard,85,"Sportivi, Team ""aggressivi""","Adrenalina, Fatica, Superamento Limiti",Oltre ogni limite: addestramento militare per forgiare un carattere di ferro.,no,no,5,Illimitato,3,6,4,Percorso di sopravvivenza e prove fisiche/logiche ispirate all'addestramento militare.,High,,https://www.teambuilding.it/project/bootcamp/,https://teambuilding.it/preventivi/schede/ita/Bootcamp - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Bootcamp - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Bootcamp - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Bootcamp - TeamBuilding-it-eng.pptx
Caccia all'uomo,Urban Game / Avventura,Outdoor,Standard,80,"Sportivi, team agguerriti","Sport, velocità, rapidità, competizione",Caccia all’uomo è il team building che trasforma la città in un set da thriller.,no,si,4,Illimitato,1,4,"2,5",Inseguite e catturate un personaggio misterioso in città.,low,,https://www.teambuilding.it/project/caccia-alluomo/,https://teambuilding.it/preventivi/schede/ita/Caccia all'uomo - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Caccia all'uomo - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Caccia all'uomo - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Manhunt - TeamBuilding-it - eng.pptx
Candid Camera,Creativo / Urban,Outdoor,Standard,85,"Team Commerciali, Estroversi","Risate, Faccia tosta, Creatività ",Siete pronti a metterci la faccia? Il team building più irriverente di sempre.,no,no,3,150,"2,5",4,3,I team ideano e realizzano scherzi divertenti ai passanti filmandoli di nascosto.,low,,https://www.teambuilding.it/project/candid-camera/,https://teambuilding.it/preventivi/schede/ita/Candid Camera - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Candid Camera - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Candid Camera - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Candid Camera - TeamBuilding-it-eng.pptx
Cardboard World,Costruzione / Creativo,Indoor,Standard,80,"Ingegneri, Grandi Gruppi","Creatività , Visione, Costruzione",Date forma alle vostre idee: costruiamo un mondo intero usando solo cartone e ingegno.,no,no,3,1000+,2,3,"2,5","Costruzione di strutture, mobili o scenari utilizzando solo cartone e creatività .",medium,,https://www.teambuilding.it/project/cardboard-world/,https://teambuilding.it/preventivi/schede/ita/Cardboard World - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Cardboard World - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Cardboard World - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Cardboard World - TeamBuilding-it-eng.pptx
Carton Boat,Costruzione / Sport,Outdoor (Acqua),Standard,70,"Giovani, Sportivi, Summer Party","Risate, Sfida, Ingegno",La sfida navale definitiva: galleggerà  o affonderà? L'ingegno al potere.,no,no,4,Illimitato,2,3,"2,5",Costruzione di barche di cartone che devono realmente galleggiare e gareggiare in acqua.,medium,,https://www.teambuilding.it/project/carton-boat/,https://teambuilding.it/preventivi/schede/ita/Carton Boat - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Carton Boat - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Carton Boat - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Carton Boat - TeamBuilding-it-eng.pptx
Cartoon Car Race,Costruzione / Gara,Indoor / Outdoor,Standard,80,"Tutti i reparti, Creativi","Risate, Competizione, Colore",Tornare bambini per correre veloci: costruisci il tuo bolide e vinci la gara più pazza.,no,no,5,Illimitato,2,3,"2,5",Costruzione e gara di auto a spinta realizzate in cartone e legno in stile cartoon.,medium,,https://www.teambuilding.it/project/cartoon-car-race/,https://teambuilding.it/preventivi/schede/ita/Cartoon Car Race - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Cartoon Car Race - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Cartoon Car Race - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Cartoon Car Race - TeamBuilding-it-eng.pptx
Casinò,Intrattenimento,Indoor / Cena,Standard,85,"Cene di Gala, Clienti VIP","Lusso, Gioco, Eleganza","L'eleganza di Montecarlo al vostro evento: fate il vostro gioco, rien ne va plus!",si,no,2,Illimitato,"1,5",3,2,"Simulazione di una sala da gioco con tavoli reali (roulette, black jack) e croupier.",low,,https://www.teambuilding.it/project/casino/,https://teambuilding.it/preventivi/schede/ita/Casino - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Casino - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/CasinÃ² - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Casino - TeamBuilding-it-eng.pptx
Caterpillar,Guida / Heavy,Outdoor,Standard,300,"Uomini, Settore Edilizio/Tech","Potenza, Precisione, Wow Factor",Mettetevi alla guida di veri giganti d'acciaio: potenza grezza sotto il vostro controllo.,no,no,2,50,3,4,"3,5",Prova di abilità  e guida utilizzando veri mezzi pesanti da cantiere (escavatori).,low,,https://www.teambuilding.it/project/caterpillar-day/,https://teambuilding.it/preventivi/schede/ita/Caterpillar - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Caterpillar - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Caterpillar - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Caterpillar - TeamBuilding-it-eng.pptx
Caterpillar Zone,Costruzione / Tech,Indoor / Outdoor,Standard,95,"Appassionati Tech, Modellismo","Precisione, Tecnica, Gioco",Un cantiere in miniatura dove la precisione millimetrica guida il successo del team.,no,no,3,100,2,3,"2,5",Sfida di costruzione e manovra in un cantiere in miniatura con mezzi radiocomandati.,low,,https://www.teambuilding.it/project/caterpillar-zone/,https://teambuilding.it/preventivi/schede/ita/Caterpillar Zone - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Caterpillar Zone - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Caterpillar Zone - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Caterpillar Zone - TeamBuilding-it - eng.pptx
Cena con Delitto,Investigativo / Cena,Durante i pasti,flat,-,"Cene Aziendali, Gruppi Analitici","Mistero, Intrigo, Coinvolgimento","Il crimine è servito: tra una portata e l'altra, scoprite l'assassino seduto accanto a voi.",no,no,4,Illimitato,2,3,"2,5",Spettacolo teatrale interattivo dove i commensali devono scoprire il colpevole di un crimine.,low,,https://www.teambuilding.it/project/cena-con-delitto/,https://teambuilding.it/preventivi/schede/ita/Cena con delitto - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Cena con delitto - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Cena con Delitto - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Dinner with Murder - TeamBuilding-it-eng.pptx
Chain Reaction,Costruzione / Logica,Indoor,Standard,75,"Ingegneri, Project Manager","Logica, Pazienza, Wow Effect",Ogni piccola azione conta: create la reazione a catena perfetta per unire i reparti.,no,no,5,Illimitato,2,3,"2,5",Costruzione di un complesso meccanismo a catena dove ogni pezzo innesca il successivo.,high,,https://www.teambuilding.it/project/chain-reaction/,https://teambuilding.it/preventivi/schede/ita/Chain Reaction - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Chain Reaction - Teambuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Chain Reaction - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Chain Reaction - TeamBuilding-it-eng.pptx
Christmas Escape,Enigmi / Cena,Durante i pasti,standard,75,Cene di Natale,"Logica, Festa, Mistero",Salvate il Natale risolvendo gli enigmi prima che arrivi il dolce!,no,no,3,Illimitato,"1,5","2,5",2,Escape room a tema natalizio con enigmi da risolvere al tavolo per aprire un lucchetto.,low,,https://www.teambuilding.it/project/christmas-escape/,https://teambuilding.it/preventivi/schede/ita/Christmas Escape - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Christmas Escape - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Christmas Escape - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Christmas Escape - TeamBuilding-it-eng.pptx
Christmas Sweet Lab,Culinario,Indoor,Standard,100,"Cene di Natale, Golosi","Dolcezza, Natale, Creatività ",Il lato più dolce del Natale: diventate pasticceri e create il villaggio delle feste.,no,no,3,Illimitato,"1,5","2,5",2,Creazione e decorazione di dolci natalizi per comporre un villaggio commestibile.,medium,,https://www.teambuilding.it/project/christmas-sweet-lab/,https://teambuilding.it/preventivi/schede/ita/Christmas Sweet Lab - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Christmas Sweet Lab - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Christmas Sweet Lab - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Christmas Sweet Lab- TeamBuilding-it - eng.pptx
Cinema,Creativo / Video,Indoor / Outdoor,Standard,80,"Marketing, HR, Creativi","Cinema, Recitazione, Teamwork","Ciak, si gira! Trasformate i valori aziendali in un cortometraggio da Oscar.",no,no,5,Illimitato,"2,5",4,3,"Realizzazione di un cortometraggio: sceneggiatura, riprese, recitazione e montaggio.",High,,https://www.teambuilding.it/project/cinema/,https://teambuilding.it/preventivi/schede/ita/Cinema - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Cinema - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Cinema - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Cinema - TeamBuilding-it-eng.pptx
Circus,Creativo / Fisico,Indoor / Outdoor,Standard,110,"Gruppi che vogliono ""osare""","Equilibrio, Risate, Sfida personale",Scoprite l'equilibrio perfetto tra divertimento e fiducia con le arti circensi.,no,no,3,Illimitato,2,4,3,"Laboratorio per apprendere le arti circensi (giocoleria, equilibrio) con show finale.",medium,,https://www.teambuilding.it/project/circus/,https://teambuilding.it/preventivi/schede/ita/Circus - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Circus - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Circus - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Circus - TeamBuilding-it-eng.pptx
Cocktail Building,Culinario / Aperitivo,Indoor / Outdoor,Standard,80,"Giovani, Aperitivi","Cool, Gusto, Relax",Shakerate lo stress e create il mix perfetto per brindare al team.,no,no,4,Illimitato,"1,5","2,5",2,Gara a squadre per creare il cocktail perfetto sotto la guida di barman professionisti.,low,,https://www.teambuilding.it/project/cocktail-building/,https://teambuilding.it/preventivi/schede/ita/Cocktail - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Cocktail - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Cocktail Building - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Cocktail Building - TeamBuilding-it-eng.pptx
Connecting Wall,Creativo / Pittura,Indoor,Standard,80,"Grandi Gruppi, Convention","Unione, Colore, Appartenenza","Tante tele diverse, un'unica grande visione aziendale: l'arte che unisce.",no,no,4,Illimitato,"1,5","2,5",2,"I team dipingono sezioni diverse che, una volta unite, formano un'unica grande immagine aziendale.",medium,,https://www.teambuilding.it/project/connecting-wall/,https://teambuilding.it/preventivi/schede/ita/Connecting Wall - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Connecting Wall - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Connecting Wall - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Connecting Wall - TeamBuilding-it-eng.pptx
Cooking,Culinario,Indoor,Standard,120,Tutti (eccetto intolleranze gravi),"Gusto, Collaborazione, Calore",Dalla competizione ai fornelli alla condivisione a tavola: la ricetta segreta del team.,no,no,5,100,1,4,2,Gara di cucina completa (dalla spesa alla realizzazione del piatto) con chef professionisti.,low,,https://www.teambuilding.it/project/cooking/,https://teambuilding.it/preventivi/schede/ita/Cooking - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Cooking - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Cooking - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Cooking - TeamBuilding-it-eng.pptx
Cooking Mystery Box,Culinario,Indoor,Standard,100,Appassionati Masterchef,"Adrenalina, Creatività , Gusto","Ingredienti segreti, tempo limitato: scatenate la creatività  culinaria!",no,si,5,100,"2,5",4,"3,5",Sfida culinaria dove i team devono cucinare usando ingredienti segreti svelati all'ultimo.,low,,https://www.teambuilding.it/project/cooking-mystery-box/,https://teambuilding.it/preventivi/schede/ita/Mystery Box - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Mystery Box - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Cooking Mystery Box - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Mystery Box - TeamBuilding-it-eng.pptx
Crazy Experiments,Scientifico / Problem Solving,Indoor,Standard,85,"R&D, Ingegneri, Analitici","Logica, Scienza, Scoperta",La scienza al servizio del team: esperimenti folli per menti brillanti.,no,si,3,Illimitato,1,2,"1,5",Serie di esperimenti scientifici bizzarri e sfide di ingegno e logica.,low,,https://www.teambuilding.it/project/crazy-experiments/,https://teambuilding.it/preventivi/schede/ita/Crazy Experiments - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Crazy Experiments - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Crazy Experiments - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Crazy Experiments - TeamBuilding-it - eng.pptx
Creative Recycling,Creativo / Green,Indoor,Standard,85,"Aziende Green, Sostenibilità ","Sostenibilità , Arte, Manualità ","Nulla si crea, tutto si trasforma: l'arte del riciclo creativo in azienda.",no,no,3,Illimitato,"1,5","2,5",2,Creazione di sculture e opere d'arte utilizzando esclusivamente materiali di scarto.,medium,,https://www.teambuilding.it/project/creative-recycling/,https://teambuilding.it/preventivi/schede/ita/Creative Recycling - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Creative Recycling - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Creative Recycling - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Creative recycling - TeamBuilding-it-eng.pptx
CSI Project,Investigativo,Indoor / Outdoor,Standard,80,"Analitici, Problem Solvers","Mistero, Logica, Investigazione",Sulla scena del crimine: usate la scienza forense per svelare la verità  nascosta.,no,no,5,Illimitato,2,4,3,"Indagine scientifica con rilevamento impronte, analisi prove e interrogatori.",High,,https://www.teambuilding.it/project/csi-project/,https://teambuilding.it/preventivi/schede/ita/Csi - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Csi - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/CSI Project - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Csi - TeamBuilding-it-eng.pptx
Csi Christmas,investigativo,indoor,Standard,80,"Analitici, Problem Solvers","Mistero, Logica, Investigazione",CSI: Chi ha rubato i regali di Babbo Natale?,no,si,3,Illimitato,1,3,2,Indagine scientifica alla ricerca delle tracce del ladro dei regali di Babbo Natale.,High,,https://www.teambuilding.it/project/csi-chi-ha-rubato-i-regali-di-babbo-natale/,https://teambuilding.it/preventivi/schede/ita/Csi Natale - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Csi Natale - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Csi Christmas - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Csi Christmas - TeamBuilding-it - eng.pptx
Darkness Experience,Sensoriale,Indoor,Standard,70,Team che necessitano fiducia,"Fiducia, Ascolto, Emozione profonda",Spegnete la luce per accendere la fiducia: un'esperienza sensoriale profonda.,no,no,3,50,"1,5","2,5",2,Attività  sensoriali e di fiducia svolte nel buio totale per stimolare gli altri sensi.,High,,https://www.teambuilding.it/project/darkness-experience/,https://teambuilding.it/preventivi/schede/ita/Darkness Experience - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Darkness Experience - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Darkness Experience - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Darkness- TeamBuilding -it - eng.pptx
Decode Fake News,Investigativo / Attualità ,Indoor,Standard,80,"Giornalisti, Comunicazione","Attualità , Critica, Dibattito",Vero o falso? Allenate il pensiero critico nel labirinto dell'informazione.,no,si,3,Illimitato,1,2,"1,5",Gioco di indagine per imparare a distinguere notizie vere da fake news (anche generate da AI).,High,,https://www.teambuilding.it/project/decode-fake-news/,https://teambuilding.it/preventivi/schede/ita/Decode - Smonta la Fake News - TeamBuilding.it.pdf,https://teambuilding.it/preventivi/schede/ita/Decode - Smonta la Fake News - TeamBuilding.it.pptx,https://teambuilding.it/preventivi/schede/eng/Decode Fake News - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Decode - Debunk the Fake News - TeamBuilding-it - eng.pptx
Domino Rally,Costruzione / Pazienza,Indoor,Standard,60,"Team pazienti, Precisione","Pazienza, Attenzione, Spettacolo",Un lavoro di precisione millimetrica per un finale spettacolare e travolgente.,no,no,2,Illimitato,"1,5","2,5",2,Posizionamento di migliaia di tessere per creare un percorso a effetto domino.,low,,https://www.teambuilding.it/project/domino-rally/,https://teambuilding.it/preventivi/schede/ita/DominoRally - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/DominoRally - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Domino Rally - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Domino Rally - TeamBuilding-it-eng.pptx
